question;correct_answer;difficult_level
<img src="https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg" height="213" width="320" />;Grecia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg" height="213" width="320" />;Olanda;1
<img src="https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg" height="213" width="320" />;Francia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg" height="213" width="320" />;Austria;1
<img src="https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg" height="213" width="320" />;Italia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg" height="213" width="320" />;Islanda;2
<img src="https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_United_Kingdom.svg" height="213" width="320" />;Regno unito;1
<img src="https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg" height="213" width="320" />;Spagna;1
<img src="https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_the_United_States.svg" height="213" width="320" />;Stati Uniti;1
<img src="https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg" height="213" width="320" />;Svizzera;1
<img src="https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg" height="213" width="320" />;Croazia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg" height="213" width="320" />;Finlandia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg" height="213" width="320" />;Slovenia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg" height="213" width="320" />;Svezia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg" height="213" width="320" />;Russia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg" height="213" width="320" />;Portogallo;1
<img src="https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg" height="213" width="320" />;Germania;1
<img src="https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg" height="213" width="320" />;Norvegia;1
<img src="https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg" height="213" width="320" />;Brasile;1
